Count,Rk,Name,Inducted,Yrs,From,To,ASG,WAR/pos,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,GDP,SF,SH,BA,OBP,SLG,OPS
1,108,Jesse Haines,1970,19,1918,1937,0,-3.1,560,1215,1124,76,209,23,2,3,79,2,1,30,246,0,1,,59,0.186,0.208,0.218,0.426
1,109,Roy Halladay,2019,16,1998,2013,8,-1.1,115,305,275,15,34,2,0,0,12,0,0,4,137,0,2,0,26,0.124,0.136,0.131,0.267
1,110,Billy Hamilton,1961,14,1888,1901,0,63.2,1594,7609,6283,1697,2164,242,95,40,742,914,,1189,362,,,,47,0.344,0.455,0.432,0.888
1,111,Ned Hanlon,1996,13,1880,1892,0,18.1,1270,5577,5087,931,1318,159,79,30,518,329,,472,357,,,,,0.259,0.324,0.339,0.663
1,112,Bucky Harris,1975,12,1919,1931,0,16,1263,5568,4736,722,1297,224,64,9,508,167,91,472,310,0,,,249,0.274,0.352,0.354,0.706
1,113,Gabby Hartnett,1955,20,1922,1941,6,55.9,1990,7300,6432,867,1912,396,64,236,1179,28,27,703,697,86,93,,127,0.297,0.37,0.489,0.858
1,114,Harry Heilmann,1952,17,1914,1932,0,72.5,2147,8972,7787,1291,2660,542,151,183,1543,113,68,856,550,9,,,277,0.342,0.41,0.52,0.93
1,115,Rickey Henderson,2009,25,1979,2003,10,111.1,3081,13346,10961,2295,3055,510,66,297,1115,1406,335,2190,1694,61,172,67,30,0.279,0.401,0.419,0.82
1,116,Billy Herman,1975,15,1931,1947,10,57.3,1922,8641,7707,1163,2345,486,82,47,839,67,72,737,428,34,191,,171,0.304,0.367,0.407,0.774
1,117,Whitey Herzog,2010,8,1956,1963,0,2.8,634,1885,1614,213,414,60,20,25,172,13,18,241,261,8,25,8,15,0.257,0.354,0.365,0.719
1,118,Pete Hill,2006,5,1920,1925,0,4.2,159,612,508,81,154,22,8,7,84,11,,84,,,,,12,0.303,0.41,0.419,0.829
1,119,Gil Hodges,2022,18,1943,1963,8,43.9,2071,8104,7030,1105,1921,295,48,370,1274,63,42,943,1137,109,165,50,56,0.273,0.359,0.487,0.846
1,120,Trevor Hoffman,2018,18,1993,2010,7,-0.2,1007,36,34,1,4,2,0,0,5,0,0,0,11,0,0,0,2,0.118,0.118,0.176,0.294
1,121,Harry Hooper,1971,17,1909,1925,0,53.5,2309,10277,8785,1429,2466,389,160,75,816,375,141,1136,582,,,,247,0.281,0.368,0.387,0.755
1,122,Rogers Hornsby,1942,23,1915,1937,0,127.3,2259,9481,8173,1579,2930,541,169,301,1584,135,69,1038,679,22,3,,216,0.358,0.434,0.577,1.01
1,123,Waite Hoyt,1969,21,1918,1938,0,-1.8,674,1423,1287,96,255,26,11,0,100,0,1,40,161,0,10,,91,0.198,0.223,0.235,0.458
